CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12347,2,7,3783.23,4,4,4,444,Champion
12348,249,3,90.2,1,3,1,131,Lost
12349,19,1,1328.55,3,1,3,313,Potential Loyalist
12350,310,1,294.4,1,1,2,112,Needs Attention
12352,36,7,1321.99,3,4,3,343,Loyal
12353,204,1,89.0,1,1,1,111,Needs Attention
12354,232,1,1013.6,1,1,3,113,Needs Attention
12355,214,1,238.9,1,1,1,111,Needs Attention
12356,23,3,1778.89,3,3,4,334,Loyal
12357,33,1,4817.2300000000005,3,1,4,314,Potential Loyalist
12358,2,2,928.0600000000001,4,2,3,423,Potential Loyalist
12359,58,4,4175.9800000000005,2,3,4,234,At Risk
12360,52,3,1931.26,2,3,4,234,At Risk
12361,287,1,174.9,1,1,1,111,Needs Attention
12362,3,10,4512.03,4,4,4,444,Champion
12363,110,2,552.0,2,2,2,222,At Risk
12364,8,3,1143.3,4,3,3,433,Loyal
12365,291,1,307.94,1,1,2,112,Needs Attention
12367,4,1,138.3,4,1,1,411,Potential Loyalist
12370,51,4,2915.06,3,3,4,334,Loyal
12371,60,1,1476.96,2,1,4,214,At Risk
12372,72,3,1196.04,2,3,3,233,At Risk
12373,311,1,324.6,1,1,2,112,Needs Attention
12374,25,1,563.53,3,1,3,313,Potential Loyalist
12375,11,2,377.5,4,2,2,422,Potential Loyalist
12377,315,2,1548.12,1,2,4,124,Lost
12378,130,1,3660.7400000000002,2,1,4,214,At Risk
12379,82,2,736.44,2,2,3,223,At Risk
12380,22,4,1911.8700000000001,3,3,4,334,Loyal
12381,5,3,1411.06,4,3,4,434,Loyal
12383,185,5,1478.99,1,4,4,144,Lost
12384,29,2,388.62,3,2,2,322,Potential Loyalist
12386,367,1,215.7,1,1,1,111,Needs Attention
12388,16,6,2609.2000000000003,4,4,4,444,Champion
12390,80,1,470.94,2,1,2,212,At Risk
12391,22,1,422.71,3,1,2,312,Potential Loyalist
12393,72,4,1441.0,2,3,4,234,At Risk
12394,64,2,590.08,2,2,3,223,At Risk
12395,19,12,1973.6200000000001,3,4,4,344,Loyal
12397,36,2,1915.55,3,2,4,324,Potential Loyalist
12398,46,1,1435.66,3,1,4,314,Potential Loyalist
12399,119,4,778.65,2,3,3,233,At Risk
12401,303,1,43.8,1,1,1,111,Needs Attention
12402,323,1,195.6,1,1,1,111,Needs Attention
12403,50,1,391.7,3,1,2,312,Potential Loyalist
12405,149,1,1266.0700000000002,1,1,3,113,Needs Attention
12406,22,2,3076.98,3,2,4,324,Potential Loyalist
12407,50,5,1266.36,3,4,3,343,Loyal
12408,33,5,1956.21,3,4,4,344,Loyal
12409,79,3,4101.91,2,3,4,234,At Risk
12410,309,2,507.83,1,2,2,122,Lost
12412,75,3,1115.04,2,3,3,233,At Risk
12413,67,3,656.15,2,3,3,233,At Risk
12414,217,3,351.21,1,3,2,132,Lost
12415,25,11,11910.49,3,4,4,344,Loyal
12417,3,9,2647.5,4,4,4,444,Champion
12418,113,1,654.66,2,1,3,213,At Risk
12420,64,1,523.5,2,1,2,212,At Risk
12421,16,4,607.57,4,3,3,433,Loyal
12422,96,3,645.3100000000001,2,3,3,233,At Risk
12423,1,8,1587.91,4,4,4,444,Champion
12424,163,2,1148.72,1,2,3,123,Lost
12425,78,1,631.7,2,1,3,213,At Risk
12426,195,1,493.78000000000003,1,1,2,112,Needs Attention
12427,22,3,639.32,3,3,3,333,Loyal
12428,26,8,5932.4,3,4,4,344,Loyal
12429,9,4,2810.34,4,3,4,434,Loyal
12430,43,1,168.6,3,1,1,311,Potential Loyalist
12431,60,13,4614.26,2,4,4,244,At Risk
12432,43,4,2950.36,3,3,4,334,Loyal
12433,1,7,9450.37,4,4,4,444,Champion
12434,85,2,806.14,2,2,3,223,At Risk
12435,80,2,1447.8000000000002,2,2,4,224,At Risk
12436,100,1,429.01000000000005,2,1,2,212,At Risk
12437,2,18,3796.74,4,4,4,444,Champion
12438,14,2,2400.22,4,2,4,424,Potential Loyalist
12441,367,1,155.55,1,1,1,111,Needs Attention
12442,3,1,144.06,4,1,1,411,Potential Loyalist
12444,21,5,3243.11,3,4,4,344,Loyal
12445,22,1,77.4,3,1,1,311,Potential Loyalist
12446,58,1,857.66,2,1,3,213,At Risk
12447,243,1,431.49,1,1,2,112,Needs Attention
12448,44,1,300.45,3,1,2,312,Potential Loyalist
12449,22,4,3596.29,3,3,4,334,Loyal
12450,156,2,197.88,1,2,1,121,Lost
12451,11,5,7338.24,4,4,4,444,Champion
12452,17,1,348.57,4,1,2,412,Potential Loyalist
12453,134,1,707.09,2,1,3,213,At Risk
12454,56,1,793.0,2,1,3,213,At Risk
12455,73,5,1433.06,2,4,4,244,At Risk
12456,44,3,2419.32,3,3,4,334,Loyal
12457,66,4,1549.6299999999999,2,3,4,234,At Risk
12458,71,2,772.28,2,2,3,223,At Risk
12461,155,1,626.88,1,1,3,113,Needs Attention
12462,19,2,874.65,3,2,3,323,Potential Loyalist
12463,53,4,1175.28,2,3,3,233,At Risk
12464,10,7,212.5,4,4,1,441,Loyal
12465,17,2,641.39,4,2,3,423,Potential Loyalist
12468,188,2,619.29,1,2,3,123,Lost
12471,2,27,12446.08,4,4,4,444,Champion
12472,32,7,5547.43,3,4,4,344,Loyal
12473,54,3,2296.16,2,3,4,234,At Risk
12474,17,18,6464.22,4,4,4,444,Champion
12475,54,1,635.14,2,1,3,213,At Risk
12476,16,10,4718.13,4,4,4,444,Champion
12477,23,6,11054.94,3,4,4,344,Loyal
12478,4,1,545.99,4,1,2,412,Potential Loyalist
12479,11,1,473.2,4,1,2,412,Potential Loyalist
12480,28,4,2396.54,3,3,4,334,Loyal
12481,23,10,3819.5,3,4,4,344,Loyal
12483,17,8,1736.74,4,4,4,444,Champion
12484,35,4,3670.4,3,3,4,334,Loyal
12488,10,3,1075.16,4,3,3,433,Loyal
12489,336,1,267.03,1,1,2,112,Needs Attention
12490,5,10,4503.01,4,4,4,444,Champion
12491,39,1,377.6,3,1,2,312,Potential Loyalist
12492,63,2,227.21,2,2,1,221,At Risk
12493,166,2,362.79,1,2,2,122,Lost
12494,16,7,1084.1000000000001,4,4,3,443,Loyal
12497,82,1,20.4,2,1,1,211,At Risk
12498,21,3,349.70000000000005,3,3,2,332,Loyal
12500,50,8,591.69,3,4,3,343,Loyal
12501,337,1,1986.72,1,1,4,114,Needs Attention
12502,96,5,2364.42,2,4,4,244,At Risk
12504,18,2,415.29999999999995,4,2,2,422,Potential Loyalist
12506,233,1,73.5,1,1,1,111,Needs Attention
12507,156,2,388.75,1,2,2,122,Lost
12508,26,2,397.88,3,2,2,322,Potential Loyalist
12509,284,1,158.5,1,1,1,111,Needs Attention
12510,143,2,651.85,2,2,3,223,At Risk
12512,66,2,132.18,2,2,1,221,At Risk
12513,113,1,520.04,2,1,2,212,At Risk
12514,267,1,966.68,1,1,3,113,Needs Attention
12515,353,1,227.7,1,1,1,111,Needs Attention
12516,78,2,512.48,2,2,2,222,At Risk
12517,28,4,2301.6,3,3,4,334,Loyal
12518,1,5,1840.89,4,4,4,444,Champion
12519,64,1,276.84,2,1,2,212,At Risk
12520,79,5,2252.81,2,4,4,244,At Risk
12521,143,1,530.73,2,1,2,212,At Risk
12522,39,2,152.72,3,2,1,321,Potential Loyalist
12523,19,11,1536.16,3,4,4,344,Loyal
12524,9,8,2405.15,4,4,4,444,Champion
12526,1,3,1122.16,4,3,3,433,Loyal
12527,82,3,330.71000000000004,2,3,2,232,At Risk
12528,9,6,1511.58,4,4,4,444,Champion
12530,60,4,1243.82,2,3,3,233,At Risk
12531,15,1,95.27,4,1,1,411,Potential Loyalist
12532,30,1,313.83000000000004,3,1,2,312,Potential Loyalist
12534,131,1,936.73,2,1,3,213,At Risk
12535,92,2,716.35,2,2,3,223,At Risk
12536,59,1,3979.46,2,1,4,214,At Risk
12538,29,1,363.95,3,1,2,312,Potential Loyalist
12539,22,4,4552.0,3,3,4,334,Loyal
12540,20,17,10688.28,3,4,4,344,Loyal
12541,30,3,816.18,3,3,3,333,Loyal
12544,36,1,316.7,3,1,2,312,Potential Loyalist
12545,75,2,819.64,2,2,3,223,At Risk
12546,47,2,986.08,3,2,3,323,Potential Loyalist
12547,198,2,151.79999999999998,1,2,1,121,Lost
12548,166,1,67.19999999999999,1,1,1,111,Needs Attention
12550,79,1,824.83,2,1,3,213,At Risk
12551,358,1,168.0,1,1,1,111,Needs Attention
12552,40,1,251.87,3,1,2,312,Potential Loyalist
12553,8,10,3066.4,4,4,4,444,Champion
12556,50,2,574.31,3,2,3,323,Potential Loyalist
12557,158,1,243.84,1,1,1,111,Needs Attention
12558,8,1,269.96,4,1,2,412,Potential Loyalist
12559,311,2,500.21000000000004,1,2,2,122,Lost
12560,5,2,1860.26,4,2,4,424,Potential Loyalist
12561,303,1,238.85,1,1,1,111,Needs Attention
12562,8,7,2932.38,4,4,4,444,Champion
12564,261,1,352.05,1,1,2,112,Needs Attention
